# 微軟倉頡聯想詞詞表（多字詞），自官方 ChtChangjie.lex 解出
# columns: text <TAB> weight
# 44572 phrases
一一	10705133
一些	10754525
一併	10527016
一來	10133136
一共	10183764
一再	10651364
一切	10673446
一則	10314378
一同	10352339
一向	10592368
一味	10405171
一塊	10513057
一如	10106146
一字	9410835
一定	10735248
一帶	10554006
一干	9738108
一度	10616659
一律	10498770
一心	9984301
一手	10230494
一旁	10273883
一旦	10684194
一早	10077899
一時	10744963
一會	8896366
一月	10725374
一概	9873598
一樣	10662506
一流	10252576
一生	10438000
一直	10763939
一經	10048274
一致	10628449
一舉	10453772
一般	10694754
一處	10567065
一角	9949595
一貫	10388066
一起	10640015
一路	10604635
一連	10294468
一道	10370466
一邊	10469145
一面	10540661
一體	10207579
一點	10715338
一齊	9627404
丁憂	9922198
丁烷	10589262
丁香	10343069
七七	10543588
七堵	10736948
七彩	10679078
七律	9280976
七情	10417512
七星	10763939
七竅	10258207
七絕	10122717
七美	10708702
七色	10647933
丈人	10343069
丈夫	10763939
丈母	10096876
丈量	10653236
三光	10593743
三八	10661278
三合	10556933
三國	10677050
三多	10453772
三專	10207579
三峽	10722048
三思	10382256
三星	10692423
三水	9540515
三牲	9429812
三總	10628449
三義	10575617
三芝	10497161
三軍	10645086
三輕	10054984
三重	10763939
三陽	10537656
上上	10163180
上下	10689496
上乘	9802081
上任	10671637
上來	10562743
上元	10048274
上前	10643822
上升	10698233
上午	10763939
上去	10429958
上台	10653236
上司	10241636
上品	9574572
上坡	9452727
上場	10529312
上士	9095830
上天	10222952
上好	9937571
上學	10540661
上官	9206534
上將	10584050
上尉	10119791
上山	10604635
上岸	10551802
上工	9838892
上市	10756104
上帝	10614671
上床	10141873
上手	8960340
上揚	10723714
上方	10481664
上旬	10517746
上昇	10073061
上映	10343069
上書	9676005
上校	10327297
上榜	10311104
上樓	10373434
上流	9721002
上海	10706846
上游	10662506
上演	10456362
上漲	10740125
上片	9906426
上班	10715338
上當	10443303
上癮	10358442
上空	10469145
上端	8539470
上等	9995442
上策	10096876
上級	10731974
上膛	9516700
上船	10388066
上行	9381210
上街	10294468
上衣	10402354
上訴	10634260
上課	10680632
上賓	10203674
上路	10493932
上身	10259762
上車	10594430
上述	10748167
上進	9873598
上選	9627404
上邊	8785663
上門	10573490
上陣	10416312
上面	10624544
上頭	10022433
上風	9967196
上香	10183764
下令	10722048
下來	10747528
下凡	9119644
下列	10695451
下午	10704447
下去	10730660
下台	10618244
下坡	10246766
下垂	10186994
下場	10541560
下嫁	9862706
下子	10096876
下學	10505479
下屬	10283576
下山	10586558
下工	8563284
下巴	10351111
下床	9598386
下廚	10120690
下手	10648359
下挫	10677050
下放	10318282
下文	10597304
下方	10517746
